created_at	full_text	screen_name	edited_text
Sun May 19 12:52:00 +0000 2019	El PP dirige desde hace 19 años Melilla, un feudo roto socialmente con un sistema clientelar que para la oposición es pura mafia #26M https://t.co/lNNK0jnzNX	el_pais	PP dirige hace 19 años Melilla feudo roto socialmente sistema clientelar oposición pura mafia 26M
Sun May 19 12:42:00 +0000 2019	Al ver al oso perezoso en peligro, el hombre paró el tráfico, le agarró por la espalda y le dejó en el tronco de un árbol. La sonrisa de agradecimiento del animal se ha hecho viral https://t.co/Dx4kUqaiVT	el_pais	ver oso perezoso peligro hombre paró tráfico agarró espalda dejó tronco árbol sonrisa agradecimiento animal hecho viral
Sun May 19 12:37:58 +0000 2019	"""Los españoles no se merecen a la tercera autoridad del país defendiendo un referéndum en Cataluña"", ha dicho Rivera para justificar a su candidata a presidir el Congreso https://t.co/RzpjqLCNcj"	el_pais	españoles merecen tercera autoridad país defendiendo referéndum Cataluña '' dicho Rivera justificar candidata presidir Congreso
Sun May 19 12:32:00 +0000 2019	El primero que dijo aquello de “queredme menos y votadme más” fue Suárez. Luego, Anguita la recuperó y ayer el presidente andaluz, Juan Manuel Moreno, volvió a sacarla a la palestra. El #DiarioDeCampaña de @nataliajunquera https://t.co/DWvgj4KDKd	el_pais	primero dijo aquello “ queredme menos votadme ” Suárez Luego Anguita recuperó ayer presidente andaluz Juan Manuel Moreno volvió sacarla palestra DiarioDeCampaña nataliajunquera
Sun May 19 12:31:03 +0000 2019	RT @BuenaVidaEP: Solo el 4% de los españoles come los 25 gramos diarios recomendados, ¿debería el resto recurrir los productos enriquecidos…	el_pais	BuenaVidaEP Solo 4 españoles come 25 gramos diarios recomendados ¿debería resto recurrir productos enriquecidos…
Sun May 19 12:31:00 +0000 2019	RT @elpais_opinion: #Editorial Existe un riesgo de politización de la economía de Cataluña tras las elecciones a la Cámara de Comercio http…	el_pais	elpais_opinion Editorial Existe riesgo politización economía Cataluña elecciones Cámara Comercio http…
Sun May 19 16:25:01 +0000 2019	La censura de Maduro se recrudece contra los medios y los periodistas https://t.co/QFCz6r00P8	abc_es	censura Maduro recrudece medios periodistas
Sun May 19 16:20:00 +0000 2019	Y Madrid vio torear (a Pablo Aguado) https://t.co/fi6BWCCtP3	abc_es	Madrid vio torear Pablo Aguado
Sun May 19 16:15:00 +0000 2019	Detenidos unos padres que ofertaban a su bebé de 18 meses para fines sexuales en Ecuador https://t.co/tixIWLluuR	abc_es	Detenidos padres ofertaban bebé 18 meses fines sexuales Ecuador
Sun May 19 16:10:00 +0000 2019	"Baleares elige el medio ambiente antes que el turismo https://t.co/AqLoM3HT5m Por 

@ecalvo_"	abc_es	Baleares elige medio ambiente turismo ecalvo_
