created_at	full_text	screen_name	edited_text
Wed May 08 10:13:21 +0000 2019	Para acercar la ciencia que se muestra en el @MNCNcomunica a todos los públicos se cuenta con una educadora conocedora de lengua de signos, se ha adaptado a lectura fácil la cartelería de varias exposiciones y se han instalado impresiones 3d de cráneos de dinosaurios	CSIC	acercar ciencia muestra MNCNcomunica públicos cuenta educadora conocedora lengua signos adaptado lectura fácil cartelería varias exposiciones instalado impresiones 3d cráneos dinosaurios
Wed May 08 10:04:48 +0000 2019	"El proyecto consta de cuatro acciones dirigidas a personas con discapacidad visual (Ver con las manos), auditiva (Escuchar con la mirada), intelectual (Aprender sin limitaciones) y a personas con enfermedades neurodegenerativas (Sentir con los recuerdos).
#MNCN"	CSIC	proyecto consta cuatro acciones dirigidas personas discapacidad visual Ver manos auditiva Escuchar mirada intelectual Aprender limitaciones personas enfermedades neurodegenerativas Sentir recuerdos MNCN
Wed May 08 09:58:01 +0000 2019	Hoy se presenta en el ⁦@MNCNcomunica⁩ ‘Ver con las manos, escuchar con la mirada, sentir con los recuerdos y aprender sin limitaciones. El MNCN un museo accesible’. Se trata de una iniciativa para mejorar la accesibilidad a las instalaciones y adaptar sus actividades https://t.co/NjhXa5gq0P	CSIC	Hoy presenta ⁦ MNCNcomunica⁩ ‘ Ver manos escuchar mirada sentir recuerdos aprender limitaciones MNCN museo accesible ’ trata iniciativa mejorar accesibilidad instalaciones adaptar actividades
Wed May 08 07:17:32 +0000 2019	RT @CSICmasI: Al solucionar un problema en la sociedad además ha conseguido ingresos millonarios e inspirado a nuevas generaciones para hac…	CSIC	CSICmasI solucionar problema sociedad además conseguido ingresos millonarios inspirado nuevas generaciones hac…
Tue May 07 20:07:22 +0000 2019	RT @CSIC: El exoesqueleto para el tratamiento de dolencias infantiles, de 14 kilos y fabricado con aluminio, está diseñado para ayudar al p…	CSIC	CSIC exoesqueleto tratamiento dolencias infantiles 14 kilos fabricado aluminio diseñado ayudar p…
Tue May 07 18:18:16 +0000 2019	RT @CSICdivulga: “La #tablaperiódica es un icono de la ciencia y la tecnología y una de las imágenes más fácilmente reconocibles de nuestra…	CSIC	CSICdivulga “ tablaperiódica icono ciencia tecnología imágenes fácilmente reconocibles nuestra…
Tue May 07 17:35:18 +0000 2019	El investigador @jfalbertos hablará sobre cómo compaginar los retos de la política pública ante las nuevas desigualdades, la sostenibilidad fiscal de las cuentas públicas, y las posibilidades de mejora que existen en el entorno multipartidista y multinivel español.#BienesPúblicos https://t.co/vQgDSbHXzG	CSIC	investigador jfalbertos hablará cómo compaginar retos política pública nuevas desigualdades sostenibilidad fiscal cuentas públicas posibilidades mejora existen entorno multipartidista multinivel español. BienesPúblicos
Tue May 07 17:29:52 +0000 2019	"Las recientes elecciones abren un nuevo panorama político. Una mesa redonda en el @CCHS_CSIC reunirá el 14 de mayo a expertos en demografía, clima, salud y socioeconomía para abordar los retos que plantea el nuevo escenario. 
Más información ⬇️
https://t.co/s73mkQNOcH https://t.co/KProKl3U65"	CSIC	recientes elecciones abren nuevo panorama político mesa redonda CCHS_CSIC reunirá 14 mayo expertos demografía clima salud socioeconomía abordar retos plantea nuevo escenario información ⬇️
Tue May 07 17:22:17 +0000 2019	"""Las cucarachas son una plaga común en las ciudades; transmiten bacterias y vectores patógenos,. Queremos investigar métodos de control más eficaces, basados en la identificación de genes cuya modificación esterilice estos insectos"", indica Maria Dolors Piulachs @IBE_Barcelona https://t.co/hsIQnpnryi"	CSIC	cucarachas plaga común ciudades transmiten bacterias vectores patógenos Queremos investigar métodos control eficaces basados identificación genes cuya modificación esterilice insectos '' indica Maria Dolors Piulachs IBE_Barcelona
Tue May 07 17:17:10 +0000 2019	Un proyecto científico prevé utilizar la técnica de edición genética CRISPR para controlar las plagas de cucarachas en las ciudades. Una iniciativa de crowdfunding busca financiar su investigación. Puedes participar aquí ➡️v @IBE_Barcelona https://t.co/J7LXeobV0D https://t.co/RoXOhnW0JD	CSIC	proyecto científico prevé utilizar técnica edición genética CRISPR controlar plagas cucarachas ciudades iniciativa crowdfunding busca financiar investigación Puedes participar aquí ➡️v IBE_Barcelona
Tue May 07 17:11:08 +0000 2019	RT @LluisMontoliu: Todavía más maravilloso que las herramientas #CRISPR es haberte conocido Francis Mojica! Sin ti nada de todo esto hubier…	CSIC	LluisMontoliu Todavía maravilloso herramientas CRISPR haberte conocido Francis Mojica hubier…
Tue May 07 16:59:59 +0000 2019	Esta tecnología está desarrollada por la científica Elena García Armada, que ha logrado el primer exoesqueleto para ayudar a caminar a niños que sufren tetraplejia y atrofia muscular espinal. En esta entrevista lo explica . v @MarsiBionics @agencia_sinc ⬇️ https://t.co/pzo0tMcjUE	CSIC	tecnología desarrollada científica Elena García Armada logrado primer exoesqueleto ayudar caminar niños sufren tetraplejia atrofia muscular espinal entrevista explica v MarsiBionics agencia_sinc ⬇️
Tue May 07 16:49:18 +0000 2019	"Si quieres contribuir al desarrollo de estos exoesqueletos y al impulso de este innovador laboratorio, puedes colaborar en la web de Marsi Bionics, la empresa de base tecnológica que desarrolla esta tecnología ⬇️
https://t.co/r6zJFqdGyr #MarsiBionics"	CSIC	quieres contribuir desarrollo exoesqueletos impulso innovador laboratorio puedes colaborar web Marsi Bionics empresa base tecnológica desarrolla tecnología ⬇️ MarsiBionics
Tue May 07 16:27:11 +0000 2019	"El exoesqueleto para el tratamiento de dolencias infantiles, de 14 kilos y fabricado con aluminio, está diseñado para ayudar al paciente a caminar, en algunos casos por primera vez. Tiene un tamaño ajustable que permite que el exoesqueleto ""crezca"" con el niño. #marsibionics https://t.co/264CrQ8hKf"	CSIC	exoesqueleto tratamiento dolencias infantiles 14 kilos fabricado aluminio diseñado ayudar paciente caminar casos primera vez tamaño ajustable permite exoesqueleto crezca '' niño marsibionics
